City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Necochea,AR,76.32,clear sky,-38.5473,-58.7368,dyd -mar Hotel
4,Port Elizabeth,ZA,84.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
6,Port Alfred,ZA,88.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
9,Pondicherry,IN,82.36,clear sky,11.93,79.83,Villa Shanti for food lovers
10,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
12,Atuona,PF,78.82,overcast clouds,-9.8,-139.0333,Villa Enata
13,Rikitea,PF,77.56,broken clouds,-23.1203,-134.9692,People ThankYou
21,Isangel,VU,77.7,broken clouds,-19.55,169.2667,Tanna Lodge
25,Bredasdorp,ZA,75.85,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
30,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Utete,TZ,78.12,broken clouds,-7.986,38.758,River View Lodge
40,Arraial Do Cabo,BR,82.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
41,Alta Floresta,BR,82.36,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
44,Dolores,AR,77.25,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
45,Moroni,KM,81.19,light rain,-11.7022,43.2551,Hotel les Arcades
46,Sola,VU,81.39,overcast clouds,-13.8833,167.55,Leumerus Bungalows
47,Kavieng,PG,82.4,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
50,Butaritari,KI,80.47,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
52,Namatanai,PG,79.45,light rain,-3.6667,152.4333,Seagulls Inn Namatani
54,East London,ZA,81.01,few clouds,-33.0153,27.9116,Tu Casa
57,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
58,Kalmunai,LK,81.18,clear sky,7.4167,81.8167,VS Villa
62,Impfondo,CG,82.96,broken clouds,1.6381,18.0667,Auberge La Place de Jules
67,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
73,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
74,Tutoia,BR,82.96,light rain,-2.7619,-42.2744,Pousada Guará's
78,Gaya,IN,82.49,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
79,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Luganville,VU,78.01,moderate rain,-15.5333,167.1667,The Espiritu Hotel
89,Touros,BR,86.74,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
92,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
94,Anloga,GH,85.14,overcast clouds,5.7947,0.8973,Pin Drop Hotel
95,Playa Vicente,MX,80.69,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
99,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
103,Chuy,UY,77.94,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
108,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
111,Hermosillo,MX,76.84,broken clouds,29.0667,-110.9667,ibis Hermosillo
116,Bandarbeyla,SO,79.52,clear sky,9.4942,50.8122,JABIR HOTEL
120,Bonthe,SL,87.46,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
124,San Policarpo,PH,80.62,light rain,12.1791,125.5072,Agapita M. Nicart
130,Tumpat,MY,80.49,clear sky,6.1978,102.171,Baan Tanyong B&B
131,Saravena,CO,87.35,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
132,Mitsamiouli,KM,82.87,light rain,-11.3847,43.2844,Foyer ADM
137,Takoradi,GH,86.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
146,Aswan,EG,81.48,clear sky,24.0934,32.907,Nuba Nile
150,Lorengau,PG,81.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
151,Porto Novo,BJ,90.0,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
155,Vaini,TO,75.36,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
159,The Valley,AI,83.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
161,Vaitape,PF,82.29,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
163,Gidam,IN,80.37,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
168,Saint-Leu,RE,81.46,broken clouds,-21.15,55.2833,La Caz Oceane
170,Katobu,ID,76.35,overcast clouds,-4.9408,122.5276,La Ode Husein
173,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
178,Urbano Santos,BR,86.85,broken clouds,-3.2078,-43.4036,Pousada Santa Dulce
179,Bengkulu,ID,76.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
180,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
181,Samarai,PG,81.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
184,Kavaratti,IN,84.22,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
189,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
191,Kruisfontein,ZA,81.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
192,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
194,Mathathane,BW,77.5,clear sky,-22.2687,28.7495,Selepswe Resort
196,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
200,Marovoay,MG,79.09,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
206,Shakawe,BW,76.71,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
207,Jalu,LY,77.81,scattered clouds,29.0331,21.5482,صاحبة الفخامة
208,Castro,BR,77.34,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
217,Hithadhoo,MV,82.0,broken clouds,-0.6,73.0833,Scoop Guest House
219,Daru,PG,76.57,overcast clouds,-9.0763,143.2092,Daru Lodge
222,Sambava,MG,79.23,clear sky,-14.2667,50.1667,Melrose
226,Male,MV,82.71,clear sky,4.1748,73.5089,Hotel Octave Maldives
227,Tecoanapa,MX,85.39,overcast clouds,16.5167,-98.75,Hotel Manglares
231,Teknaf,BD,77.14,clear sky,20.8624,92.3058,Forestry Guesthouse
232,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
234,Vao,NC,76.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
237,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
245,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
250,Cidreira,BR,76.12,clear sky,-30.1811,-50.2056,Hotel Castelo
254,Itaituba,BR,82.15,overcast clouds,-4.2761,-55.9836,Hotel Campos
260,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
262,Bull Savanna,JM,82.17,few clouds,17.8868,-77.5902,Big Red's
263,Kirakira,SB,79.99,overcast clouds,-10.4544,161.9205,SanBiz Lodge
264,Mananara,MG,77.74,scattered clouds,-16.1667,49.7667,Chez Roger
266,Karratha,AU,83.12,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
271,Araceli,PH,80.83,heavy intensity rain,10.5529,119.9913,JBryan Traveler's Inn
272,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
283,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
284,San Rafael,AR,81.79,clear sky,-34.6177,-68.3301,Hotel San Rafael
285,Pasni,PK,80.33,clear sky,25.2631,63.471,Kashmiri Hotal
288,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
294,Padang,ID,76.28,scattered clouds,-0.9492,100.3543,Mercure Padang
296,Faanui,PF,82.29,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
297,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
299,Banda Aceh,ID,81.01,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
301,Nata,PA,87.67,broken clouds,8.3333,-80.5167,Rey David
306,Dickinson,US,79.05,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
307,Phra Phutthabat,TH,83.82,light rain,14.7253,100.7954,Pruksa Siri View
308,Hun,LY,87.04,overcast clouds,29.1268,15.9477,Alrwasi Hotel
312,Bocaiuva,BR,88.68,scattered clouds,-17.1078,-43.815,Hotel Maxim's
318,Kang,BW,80.91,clear sky,-23.6752,22.7876,Kang Ultra Stop
320,Basco,PH,77.83,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
321,Sungairaya,ID,79.25,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
322,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
326,Caravelas,BR,86.76,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
327,Kuala Terengganu,MY,85.95,clear sky,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
329,Namibe,AO,76.98,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
331,Dwarka,IN,81.03,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
341,Paita,PE,75.34,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
342,Chazuta,PE,81.45,heavy intensity rain,-6.5742,-76.1367,Cáliz Hostel Chazuta
343,Ladario,BR,88.09,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
356,Amuntai,ID,75.72,overcast clouds,-2.4177,115.2494,Hotel Balqis
357,Trinidad,BO,87.78,few clouds,-14.8333,-64.9,Hotel Piesta
360,Aracaju,BR,85.95,scattered clouds,-10.9111,-37.0717,HOTEL FÊNIX
362,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
363,Guantanamo,CU,81.97,clear sky,20.1444,-75.2092,Hotel Guantánamo
364,Acajutla,SV,87.06,broken clouds,13.5928,-89.8275,Laureles
368,Sao Joao Da Barra,BR,89.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
370,Dingle,PH,77.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
371,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
376,Porbandar,IN,81.9,clear sky,21.6422,69.6093,Lords Inn Porbandar
377,Inhambane,MZ,75.94,scattered clouds,-23.865,35.3833,Oceano
380,Auki,SB,78.8,overcast clouds,-8.7676,160.7034,Auki Motel
381,Luanda,AO,84.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
384,Loanda,AO,84.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
390,Viedma,AR,79.66,clear sky,-40.8135,-62.9967,Hotel Cristal
392,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
394,Karaton,ID,75.11,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
397,Kieta,PG,79.18,light rain,-6.2167,155.6333,Uruna Bay Retreat
398,West Bay,KY,83.07,few clouds,19.3667,-81.4167,Calypso Cove
399,Mushabani,IN,80.65,clear sky,22.5167,86.45,"ZEE NEWS REPOTER,HOME"
401,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
404,Meulaboh,ID,79.07,scattered clouds,4.1363,96.1285,Kost Pria
406,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
410,Willowmore,ZA,85.08,broken clouds,-33.2926,23.4895,Jumper's Place
414,Peabiru,BR,82.06,clear sky,-23.9128,-52.3431,La visa hotel
415,Matara,LK,79.74,clear sky,5.9485,80.5353,Amaloh Boutique Resort
416,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
420,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
421,Coahuayana,MX,84.7,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
