City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,8.82,88,97,1.28,overcast clouds
1,Busselton,AU,-33.65,115.3333,63.21,77,7,14.43,clear sky
2,Necochea,AR,-38.5473,-58.7368,76.32,41,0,15.08,clear sky
3,Tuatapere,NZ,-46.1333,167.6833,57.0,94,100,1.97,overcast clouds
4,Port Elizabeth,ZA,-33.918,25.5701,84.09,51,45,11.54,scattered clouds
5,Bluff,NZ,-46.6,168.3333,59.18,82,100,6.71,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,88.18,40,95,1.99,overcast clouds
7,Port Lincoln,AU,-34.7333,135.8667,61.95,88,2,7.4,clear sky
8,Kodiak,US,57.79,-152.4072,38.71,100,100,13.8,mist
9,Pondicherry,IN,11.93,79.83,82.36,82,0,11.65,clear sky
10,Hambantota,LK,6.1241,81.1185,79.14,100,40,2.3,scattered clouds
11,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.27,81,72,12.26,broken clouds
12,Atuona,PF,-9.8,-139.0333,78.82,77,88,16.17,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,77.56,72,54,4.72,broken clouds
14,Saint Anthony,US,45.0205,-93.218,31.66,31,75,8.05,broken clouds
15,Haradok,BY,55.4624,29.9816,45.23,70,94,18.92,light rain
16,Gorom-Gorom,BF,14.4439,-0.2361,102.18,4,4,17.52,clear sky
17,Hobart,AU,-42.8794,147.3294,57.06,77,100,1.14,overcast clouds
18,Gwanda,ZW,-20.9333,29.0,74.5,52,89,10.54,overcast clouds
19,Cape Town,ZA,-33.9258,18.4232,70.12,64,90,13.62,overcast clouds
20,Maraba,BR,-5.3686,-49.1178,73.92,99,100,2.71,overcast clouds
21,Isangel,VU,-19.55,169.2667,77.7,86,70,7.09,broken clouds
22,Vardo,NO,70.3705,31.1107,28.35,58,100,20.49,light snow
